asset_id,site_id,building_id,asset_name,asset_type,manufacturer,installation_date,capacity,parent_asset_id
AST_0047,SITE_C,BLDG_006,EnvSensor-0047,EnvSensor,Carrier,2023-05-11,,AST_0043
AST_0048,SITE_C,BLDG_006,EnvSensor-0048,EnvSensor,Siemens,2023-06-13,,AST_0044
AST_0049,SITE_C,BLDG_007,Chiller-0049,Chiller,Siemens,2020-09-25,518.7,
AST_0050,SITE_C,BLDG_007,HVAC-0050,HVAC,Honeywell,2024-08-15,92.6,
AST_0051,SITE_C,BLDG_007,AHU-0051,AHU,Daikin,2019-09-08,47.2,AST_0049
AST_0052,SITE_C,BLDG_007,AHU-0052,AHU,Siemens,2024-12-28,26.3,AST_0049
AST_0053,SITE_C,BLDG_007,Pump-0053,Pump,Carrier,2021-02-26,7.9,
AST_0054,SITE_C,BLDG_007,EnergyMeter-0054,EnergyMeter,Carrier,2022-08-09,,
AST_0055,SITE_C,BLDG_007,EnvSensor-0055,EnvSensor,Carrier,2023-04-09,,AST_0051
AST_0056,SITE_C,BLDG_007,EnvSensor-0056,EnvSensor,Johnson Controls,2023-11-02,,AST_0052
